name,locType,address,pinCode
disneyland,theme_park,"""DL, 1313, South Harbor Boulevard, Anaheim Resort District, Anaheim, Orange County, California, 92805, United States of America""",92805
mosaic hotel - beverly hills,hotel,"""Mosaic Hotel Beverly Hills, South Spalding Drive, Beverly Hills, Los Angeles County, California, 90212, United States of America""",90212
point vicente park,park,"""Point Vicente Park, Hawthorne Boulevard, Ranchos Palos Verdes, Los Angeles County, California, 90275, United States of America""",90275
dana harbor,tertiary,"""Dana Point Harbor Drive, Dana Point, Orange County, California, 92629, United States of America""",92629
wofford heights,administrative,"""Wofford Heights, Mountain Shadow Road, Wofford Heights, Kern County, California, 93285, United States of America""",93285
san diego mission rd.,tertiary,"""San Diego Mission Road, City Heights, San Diego, San Diego County, California, 92108, United States of America""",92108
fresno county,administrative,"""Fresno County, California, United States of America""",
mono county museum,museum,"""Mammoth Museum, Mammoth Creek Trail, Mammoth Lakes, Mono County, California, 93546, United States of America""",93546
doheny park road,secondary,"""Doheny Park Road, Dana Point, Orange County, California, 92624, United States of America""",92624
san diego 's mission valley,suburb,"""Mission Valley, San Diego, San Diego County, California, United States of America""",
downtown,neighbourhood,"""Downtown, Oakland, Alameda County, California, 94612, United States of America""",94612
bridgeport reservoir,water,"""Bridgeport Reservoir, Lakeside Drive, Bridgeport, Mono County, California, 93517, United States of America""",93517
mount baldy ca,hamlet,"""Mount Baldy, Los Angeles County, California, United States of America""",
white mountains of california,wood,"""White Mountains, Mono County, California, United States of America""",
temecula valley wine country,suburb,"""Temecula Valley Wine Country, Valle de los Caballos, Riverside County, California, United States of America""",
tonopah,administrative,"""Tonopah, Nye County, Nevada, United States of America""",
santa monica state beach,nature_reserve,"""Santa Monica State Beach, Santa Monica Beach Path, Santa Monica, Los Angeles County, California, 90401, United States of America""",90401
napa river inn,residential,"""River Inn Avenue, Napa, Napa County, California, 94559, United States of America""",94559
bixby bridge,primary,"""Bixby Creek Bridge, Notleys Landing, Monterey County, California, 93923, United States of America""",93923
golden gate park,park,"""Golden Gate Park, Overlook Drive, Richmond District, SF, California, 94122, United States of America""",94122
