"name@sourceA","locType@sourceA","address@sourceA","attraction_in@sourceB","no_of_attractions@sourceB","no_of_reviews@sourceB","url@sourceB","reviewComment@sourceB","activity_type@sourceB","rank@sourceB","max_rank@sourceB","attraction@sourceB","contact_no@sourceB","knownFor@sourceB","address@sourceB","pinCode@sourceB","address@sourceA","locType@sourceA","name@sourceA","activity_type@sourceB","address@sourceB","attraction@sourceB","attraction_in@sourceB","contact_no@sourceB","knownFor@sourceB","max_rank@sourceB","no_of_attractions@sourceB","no_of_reviews@sourceB","pinCode@sourceB","rank@sourceB","reviewComment@sourceB","url@sourceB","Confidence"
"disney california adventure park","theme_park","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","Anaheim","3659","10223","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8280-Disney_California_Adventure_Park-Anaheim_California.html","GREAT  Not as busy as Disneyland Park so if it's too mad great to hop across the way. The main thing for us at this Park was the Theatre shows. Aladdin was fantastic and worth the... read more Reviewed January 2, 2012 Alison M , Perth, Australia","things to do","1","147","Disney California Adventure Park","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","1313 Disneyland Drive , Anaheim , CA 92803-3232","92803-3232","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","theme_park","disney california adventure park","things to do","1313 Disneyland Drive , Anaheim , CA 92803-3232","Disney California Adventure Park","Anaheim","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","147","3659","10223","92803-3232","1","GREAT  Not as busy as Disneyland Park so if it's too mad great to hop across the way. The main thing for us at this Park was the Theatre shows. Aladdin was fantastic and worth the... read more Reviewed January 2, 2012 Alison M , Perth, Australia","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8280-Disney_California_Adventure_Park-Anaheim_California.html","100"
"santa barbara zoo","attraction","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","Santa Barbara","483","995","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or150-Santa_Barbara_Zoo-Santa_Barbara_California.html","Small and sweet with mostly happy animals  I loved my Santa Barbara Zoo experience with my friend. The animals were beautiful and mostly seemed happy. I enjoyed the open settings where birds could roam free and the exotic... read more Reviewed March 24, 2016 maracujagirl , Topanga, California","things to do","3","169","Santa Barbara Zoo","8059625339","Nature & Parks , Zoos & Aquariums , Outdoor Activities","500 Ninos Dr , Santa Barbara , CA 93103-3798","93103-3798","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","attraction","santa barbara zoo","things to do","500 Ninos Dr , Santa Barbara , CA 93103-3798","Santa Barbara Zoo","Santa Barbara","8059625339","Nature & Parks , Zoos & Aquariums , Outdoor Activities","169","483","995","93103-3798","3","Small and sweet with mostly happy animals  I loved my Santa Barbara Zoo experience with my friend. The animals were beautiful and mostly seemed happy. I enjoyed the open settings where birds could roam free and the exotic... read more Reviewed March 24, 2016 maracujagirl , Topanga, California","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or150-Santa_Barbara_Zoo-Santa_Barbara_California.html","100"
"disney california adventure park","theme_park","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","Anaheim","3659","10223","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8230-Disney_California_Adventure_Park-Anaheim_California.html","Escape the hustle and bustle of Disneyland  Disney Cali Adventure is good to escape the busyness of Disneyland. Don't miss the toy story ride, monsters inc or tower of terror! Reviewed January 8, 2012 postcardsfrompeta , Australia","things to do","1","147","Disney California Adventure Park","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","1313 Disneyland Drive , Anaheim , CA 92803-3232","92803-3232","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","theme_park","disney california adventure park","things to do","1313 Disneyland Drive , Anaheim , CA 92803-3232","Disney California Adventure Park","Anaheim","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","147","3659","10223","92803-3232","1","Escape the hustle and bustle of Disneyland  Disney Cali Adventure is good to escape the busyness of Disneyland. Don't miss the toy story ride, monsters inc or tower of terror! Reviewed January 8, 2012 postcardsfrompeta , Australia","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8230-Disney_California_Adventure_Park-Anaheim_California.html","100"
"disney california adventure park","theme_park","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","Anaheim","3659","10223","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or190-Disney_California_Adventure_Park-Anaheim_California.html","Just amazing!  This place is somewhat similar to Disneyland, but somewhat has bigger rides. There are many rides for all ages to ride! Toy story mania and the Cars ride is a must! Reviewed 3 weeks ago Ian W via mobile","things to do","1","147","Disney California Adventure Park","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","1313 Disneyland Drive , Anaheim , CA 92803-3232","92803-3232","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","theme_park","disney california adventure park","things to do","1313 Disneyland Drive , Anaheim , CA 92803-3232","Disney California Adventure Park","Anaheim","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","147","3659","10223","92803-3232","1","Just amazing!  This place is somewhat similar to Disneyland, but somewhat has bigger rides. There are many rides for all ages to ride! Toy story mania and the Cars ride is a must! Reviewed 3 weeks ago Ian W via mobile","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or190-Disney_California_Adventure_Park-Anaheim_California.html","100"
"disney california adventure park","theme_park","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","Anaheim","3659","10223","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8210-Disney_California_Adventure_Park-Anaheim_California.html","Wonderful attractions  First time to visit California Adventure. California Soarin and World of Color were our favorites. Both of them a must see. Reviewed January 12, 2012 cpettit3930 , Wheat Ridge, Colorado","things to do","1","147","Disney California Adventure Park","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","1313 Disneyland Drive , Anaheim , CA 92803-3232","92803-3232","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","theme_park","disney california adventure park","things to do","1313 Disneyland Drive , Anaheim , CA 92803-3232","Disney California Adventure Park","Anaheim","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","147","3659","10223","92803-3232","1","Wonderful attractions  First time to visit California Adventure. California Soarin and World of Color were our favorites. Both of them a must see. Reviewed January 12, 2012 cpettit3930 , Wheat Ridge, Colorado","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8210-Disney_California_Adventure_Park-Anaheim_California.html","100"
"santa barbara zoo","attraction","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","Santa Barbara","483","995","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or540-Santa_Barbara_Zoo-Santa_Barbara_California.html","Great Zoo  Nice views of varied animals. Much easier to navigate than larger zoos like San Diego. Love the gorillas, giraffes, and elephants. Animals seem happy and well looked after... read more Reviewed May 13, 2014 Auntie_LaLa81 , Paso Robles, CA","things to do","3","169","Santa Barbara Zoo","8059625339","Outdoor Activities , Zoos & Aquariums , Nature & Parks","500 Ninos Dr , Santa Barbara , CA 93103-3798","93103-3798","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","attraction","santa barbara zoo","things to do","500 Ninos Dr , Santa Barbara , CA 93103-3798","Santa Barbara Zoo","Santa Barbara","8059625339","Outdoor Activities , Zoos & Aquariums , Nature & Parks","169","483","995","93103-3798","3","Great Zoo  Nice views of varied animals. Much easier to navigate than larger zoos like San Diego. Love the gorillas, giraffes, and elephants. Animals seem happy and well looked after... read more Reviewed May 13, 2014 Auntie_LaLa81 , Paso Robles, CA","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or540-Santa_Barbara_Zoo-Santa_Barbara_California.html","100"
"disney california adventure park","theme_park","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","Anaheim","3659","10223","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8220-Disney_California_Adventure_Park-Anaheim_California.html","Disneyland for Big Kids  I have a hard time thinking of California Adventure and Disneyland as two separate entities. California Adventure is the Disneyland for big kids. My 16 year old brother wanted... read more Reviewed January 10, 2012 dcvancouverbc , Vancouver, Canada","things to do","1","147","Disney California Adventure Park","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","1313 Disneyland Drive , Anaheim , CA 92803-3232","92803-3232","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","theme_park","disney california adventure park","things to do","1313 Disneyland Drive , Anaheim , CA 92803-3232","Disney California Adventure Park","Anaheim","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","147","3659","10223","92803-3232","1","Disneyland for Big Kids  I have a hard time thinking of California Adventure and Disneyland as two separate entities. California Adventure is the Disneyland for big kids. My 16 year old brother wanted... read more Reviewed January 10, 2012 dcvancouverbc , Vancouver, Canada","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8220-Disney_California_Adventure_Park-Anaheim_California.html","100"
"santa barbara zoo","attraction","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","Santa Barbara","483","995","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or560-Santa_Barbara_Zoo-Santa_Barbara_California.html","SB Zoo  Well Maintained and refreshing place. Sign Boards are in good condition. Definitely one time must see place, specially if you have not seen any zoo earlier. Reviewed April 15, 2014 Kishor2013 , Goleta","things to do","3","169","Santa Barbara Zoo","8059625339","Zoos & Aquariums , Outdoor Activities , Nature & Parks","500 Ninos Dr , Santa Barbara , CA 93103-3798","93103-3798","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","attraction","santa barbara zoo","things to do","500 Ninos Dr , Santa Barbara , CA 93103-3798","Santa Barbara Zoo","Santa Barbara","8059625339","Zoos & Aquariums , Outdoor Activities , Nature & Parks","169","483","995","93103-3798","3","SB Zoo  Well Maintained and refreshing place. Sign Boards are in good condition. Definitely one time must see place, specially if you have not seen any zoo earlier. Reviewed April 15, 2014 Kishor2013 , Goleta","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or560-Santa_Barbara_Zoo-Santa_Barbara_California.html","100"
"santa barbara zoo","attraction","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","Santa Barbara","483","995","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or550-Santa_Barbara_Zoo-Santa_Barbara_California.html","See many of those we share our planet with.  The Santa Barbara Zoo is a real treasure for a city of less than 100,000 to have. It is very accessible with a lot of parking both on and just off the Zoo grounds. It is a very... read more Reviewed April 20, 2014 DrBud_12 , Santa Barbara, California","things to do","3","169","Santa Barbara Zoo","8059625339","Outdoor Activities , Nature & Parks , Zoos & Aquariums","500 Ninos Dr , Santa Barbara , CA 93103-3798","93103-3798","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","attraction","santa barbara zoo","things to do","500 Ninos Dr , Santa Barbara , CA 93103-3798","Santa Barbara Zoo","Santa Barbara","8059625339","Outdoor Activities , Nature & Parks , Zoos & Aquariums","169","483","995","93103-3798","3","See many of those we share our planet with.  The Santa Barbara Zoo is a real treasure for a city of less than 100,000 to have. It is very accessible with a lot of parking both on and just off the Zoo grounds. It is a very... read more Reviewed April 20, 2014 DrBud_12 , Santa Barbara, California","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or550-Santa_Barbara_Zoo-Santa_Barbara_California.html","100"
"disney california adventure park","theme_park","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","Anaheim","3659","10223","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8200-Disney_California_Adventure_Park-Anaheim_California.html","Toy Story FUN!!!!  had a blast on the newest toy story ride. Cleverly done and a great attraction to experience. Reviewed January 13, 2012 Huntley66 , Los Angeles, California, United States","things to do","1","147","Disney California Adventure Park","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","1313 Disneyland Drive , Anaheim , CA 92803-3232","92803-3232","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","theme_park","disney california adventure park","things to do","1313 Disneyland Drive , Anaheim , CA 92803-3232","Disney California Adventure Park","Anaheim","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","147","3659","10223","92803-3232","1","Toy Story FUN!!!!  had a blast on the newest toy story ride. Cleverly done and a great attraction to experience. Reviewed January 13, 2012 Huntley66 , Los Angeles, California, United States","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8200-Disney_California_Adventure_Park-Anaheim_California.html","100"
"disney california adventure park","theme_park","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","Anaheim","3659","10223","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or200-Disney_California_Adventure_Park-Anaheim_California.html","DISNEY!!!!  What's not to love about Disney? We had a wonderful time here. It does get very busy on Friday evening when the locals get off work, other than that had a perfect time. Tower of... read more Reviewed 3 weeks ago Shannon L , Acworth, Georgia","things to do","1","147","Disney California Adventure Park","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","1313 Disneyland Drive , Anaheim , CA 92803-3232","92803-3232","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","theme_park","disney california adventure park","things to do","1313 Disneyland Drive , Anaheim , CA 92803-3232","Disney California Adventure Park","Anaheim","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","147","3659","10223","92803-3232","1","DISNEY!!!!  What's not to love about Disney? We had a wonderful time here. It does get very busy on Friday evening when the locals get off work, other than that had a perfect time. Tower of... read more Reviewed 3 weeks ago Shannon L , Acworth, Georgia","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or200-Disney_California_Adventure_Park-Anaheim_California.html","100"
"disney california adventure park","theme_park","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","Anaheim","3659","10223","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8190-Disney_California_Adventure_Park-Anaheim_California.html","Always fun  Fun as usual and a little less crowded than Disney Land park. The World of Color is well worth the crowds. Reviewed January 16, 2012 Mark F , Edmonton, Canada","things to do","1","147","Disney California Adventure Park","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","1313 Disneyland Drive , Anaheim , CA 92803-3232","92803-3232","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","theme_park","disney california adventure park","things to do","1313 Disneyland Drive , Anaheim , CA 92803-3232","Disney California Adventure Park","Anaheim","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","147","3659","10223","92803-3232","1","Always fun  Fun as usual and a little less crowded than Disney Land park. The World of Color is well worth the crowds. Reviewed January 16, 2012 Mark F , Edmonton, Canada","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8190-Disney_California_Adventure_Park-Anaheim_California.html","100"
"santa barbara zoo","attraction","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","Santa Barbara","483","995","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or160-Santa_Barbara_Zoo-Santa_Barbara_California.html","Santa Barbara Zoo  Fabulous day with the family. All you could want in a small but complete zoo. Especially check out the condors, elephants and lions. Kids will love it. Lots of play space, a... read more Reviewed March 15, 2016 WHITMAN42 via mobile","things to do","3","169","Santa Barbara Zoo","8059625339","Outdoor Activities , Nature & Parks , Zoos & Aquariums","500 Ninos Dr , Santa Barbara , CA 93103-3798","93103-3798","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","attraction","santa barbara zoo","things to do","500 Ninos Dr , Santa Barbara , CA 93103-3798","Santa Barbara Zoo","Santa Barbara","8059625339","Outdoor Activities , Nature & Parks , Zoos & Aquariums","169","483","995","93103-3798","3","Santa Barbara Zoo  Fabulous day with the family. All you could want in a small but complete zoo. Especially check out the condors, elephants and lions. Kids will love it. Lots of play space, a... read more Reviewed March 15, 2016 WHITMAN42 via mobile","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or160-Santa_Barbara_Zoo-Santa_Barbara_California.html","100"
"disney california adventure park","theme_park","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","Anaheim","3659","10223","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or210-Disney_California_Adventure_Park-Anaheim_California.html","Best Day Ever!!!  Our home away from home... We've yet to have a bad day at Disney California Adventure!! Fun for all ages. Reviewed 3 weeks ago ald1215 , Las Vegas, Nevada","things to do","1","147","Disney California Adventure Park","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","1313 Disneyland Drive , Anaheim , CA 92803-3232","92803-3232","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","theme_park","disney california adventure park","things to do","1313 Disneyland Drive , Anaheim , CA 92803-3232","Disney California Adventure Park","Anaheim","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","147","3659","10223","92803-3232","1","Best Day Ever!!!  Our home away from home... We've yet to have a bad day at Disney California Adventure!! Fun for all ages. Reviewed 3 weeks ago ald1215 , Las Vegas, Nevada","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or210-Disney_California_Adventure_Park-Anaheim_California.html","100"
"santa barbara zoo","attraction","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","Santa Barbara","483","995","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or520-Santa_Barbara_Zoo-Santa_Barbara_California.html","Great attraction, fun for all ages  This zoo is among my favorite! It has a great layout easy to navigate with little ones. The exhibits are arranged to maximize your time and minimize effort. This is particularly... read more Reviewed May 31, 2014 nedaac , Bakersfield","things to do","3","169","Santa Barbara Zoo","8059625339","Nature & Parks , Zoos & Aquariums , Outdoor Activities","500 Ninos Dr , Santa Barbara , CA 93103-3798","93103-3798","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","attraction","santa barbara zoo","things to do","500 Ninos Dr , Santa Barbara , CA 93103-3798","Santa Barbara Zoo","Santa Barbara","8059625339","Nature & Parks , Zoos & Aquariums , Outdoor Activities","169","483","995","93103-3798","3","Great attraction, fun for all ages  This zoo is among my favorite! It has a great layout easy to navigate with little ones. The exhibits are arranged to maximize your time and minimize effort. This is particularly... read more Reviewed May 31, 2014 nedaac , Bakersfield","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or520-Santa_Barbara_Zoo-Santa_Barbara_California.html","100"
"disney california adventure park","theme_park","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","Anaheim","3659","10223","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8170-Disney_California_Adventure_Park-Anaheim_California.html","Some Advice for You!  So I love Disney, and this is my second trip to California Adventure. If you plan to go right now (Before summer of 2012) understand they are totally remodeling and it's a little... read more Reviewed January 19, 2012 aleigho , San Jose, CA","things to do","1","147","Disney California Adventure Park","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","1313 Disneyland Drive , Anaheim , CA 92803-3232","92803-3232","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","theme_park","disney california adventure park","things to do","1313 Disneyland Drive , Anaheim , CA 92803-3232","Disney California Adventure Park","Anaheim","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","147","3659","10223","92803-3232","1","Some Advice for You!  So I love Disney, and this is my second trip to California Adventure. If you plan to go right now (Before summer of 2012) understand they are totally remodeling and it's a little... read more Reviewed January 19, 2012 aleigho , San Jose, CA","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8170-Disney_California_Adventure_Park-Anaheim_California.html","100"
"disney california adventure park","theme_park","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","Anaheim","3659","10223","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8180-Disney_California_Adventure_Park-Anaheim_California.html","Electronica was a great surprise  This high-tech nightclub attraction, with dancers and glow-cube drinks, ended up being great fun for the whole family--adults, teenagers, and ten year old. We also loved playing... read more Reviewed January 17, 2012 Uluave , Salt Lake City, Utah","things to do","1","147","Disney California Adventure Park","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","1313 Disneyland Drive , Anaheim , CA 92803-3232","92803-3232","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","theme_park","disney california adventure park","things to do","1313 Disneyland Drive , Anaheim , CA 92803-3232","Disney California Adventure Park","Anaheim","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","147","3659","10223","92803-3232","1","Electronica was a great surprise  This high-tech nightclub attraction, with dancers and glow-cube drinks, ended up being great fun for the whole family--adults, teenagers, and ten year old. We also loved playing... read more Reviewed January 17, 2012 Uluave , Salt Lake City, Utah","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8180-Disney_California_Adventure_Park-Anaheim_California.html","100"
"santa barbara zoo","attraction","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","Santa Barbara","483","995","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or510-Santa_Barbara_Zoo-Santa_Barbara_California.html","Nice activity for children (and their parents)  This is a relatively small, but very nice zoo. My 10- and 12-year-old and I were very happy to spend a couple of hours here. Definitely worth a stop if you have children. Reviewed June 30, 2014 lizbowens , Orinda, California","things to do","3","169","Santa Barbara Zoo","8059625339","Zoos & Aquariums , Outdoor Activities , Nature & Parks","500 Ninos Dr , Santa Barbara , CA 93103-3798","93103-3798","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","attraction","santa barbara zoo","things to do","500 Ninos Dr , Santa Barbara , CA 93103-3798","Santa Barbara Zoo","Santa Barbara","8059625339","Zoos & Aquariums , Outdoor Activities , Nature & Parks","169","483","995","93103-3798","3","Nice activity for children (and their parents)  This is a relatively small, but very nice zoo. My 10- and 12-year-old and I were very happy to spend a couple of hours here. Definitely worth a stop if you have children. Reviewed June 30, 2014 lizbowens , Orinda, California","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or510-Santa_Barbara_Zoo-Santa_Barbara_California.html","100"
"disney california adventure park","theme_park","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","Anaheim","3659","10223","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8160-Disney_California_Adventure_Park-Anaheim_California.html","Screaming Good Time!  I love this place, its so awesome! World of Color made me cry and I think this park is very fun You have to stop in at the Blue Sky Cellar for a look into all thats upcoming for... read more Reviewed January 22, 2012 Hannahkomadina , Prince Rupert, Canada","things to do","1","147","Disney California Adventure Park","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","1313 Disneyland Drive , Anaheim , CA 92803-3232","92803-3232","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","theme_park","disney california adventure park","things to do","1313 Disneyland Drive , Anaheim , CA 92803-3232","Disney California Adventure Park","Anaheim","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","147","3659","10223","92803-3232","1","Screaming Good Time!  I love this place, its so awesome! World of Color made me cry and I think this park is very fun You have to stop in at the Blue Sky Cellar for a look into all thats upcoming for... read more Reviewed January 22, 2012 Hannahkomadina , Prince Rupert, Canada","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8160-Disney_California_Adventure_Park-Anaheim_California.html","100"
"disney california adventure park","theme_park","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","Anaheim","3659","10223","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8400-Disney_California_Adventure_Park-Anaheim_California.html","Great for older children  A couple of rides were not going which was abit disappointing. A more compact park than the main disneyland with more exciting rides. Must do the Screamer rollercoaster and... read more Reviewed November 16, 2011 Michelle C , Whakatane, Bay of Plenty, New Zealand","things to do","1","147","Disney California Adventure Park","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","1313 Disneyland Drive , Anaheim , CA 92803-3232","92803-3232","DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America","theme_park","disney california adventure park","things to do","1313 Disneyland Drive , Anaheim , CA 92803-3232","Disney California Adventure Park","Anaheim","7147814565","Theme Parks , Disney Parks & Activities , Water & Amusement Parks","147","3659","10223","92803-3232","1","Great for older children  A couple of rides were not going which was abit disappointing. A more compact park than the main disneyland with more exciting rides. Must do the Screamer rollercoaster and... read more Reviewed November 16, 2011 Michelle C , Whakatane, Bay of Plenty, New Zealand","https://www.tripadvisor.com/Attraction_Review-g29092-d186690-Reviews-or8400-Disney_California_Adventure_Park-Anaheim_California.html","100"
"santa barbara zoo","attraction","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","Santa Barbara","483","995","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or170-Santa_Barbara_Zoo-Santa_Barbara_California.html","feed the giraffes!  zoos are tough, but this one is educational and takes good care of their animals, although some (the giraffes and elephants :( too much concrete for their feet for sure... read more Reviewed February 22, 2016 andeejo , Portland, Oregon","things to do","3","169","Santa Barbara Zoo","8059625339","Outdoor Activities , Nature & Parks , Zoos & Aquariums","500 Ninos Dr , Santa Barbara , CA 93103-3798","93103-3798","Neverland Ranch Zoo, Figueroa Mountain Road, Santa Barbara County, California, United States of America","attraction","santa barbara zoo","things to do","500 Ninos Dr , Santa Barbara , CA 93103-3798","Santa Barbara Zoo","Santa Barbara","8059625339","Outdoor Activities , Nature & Parks , Zoos & Aquariums","169","483","995","93103-3798","3","feed the giraffes!  zoos are tough, but this one is educational and takes good care of their animals, although some (the giraffes and elephants :( too much concrete for their feet for sure... read more Reviewed February 22, 2016 andeejo , Portland, Oregon","https://www.tripadvisor.com/Attraction_Review-g33045-d104228-Reviews-or170-Santa_Barbara_Zoo-Santa_Barbara_California.html","100"
