"name@sourceA","locType@sourceA","address@sourceA","attraction_in@sourceB","no_of_attractions@sourceB","no_of_reviews@sourceB","url@sourceB","reviewComment@sourceB","activity_type@sourceB","rank@sourceB","max_rank@sourceB","attraction@sourceB","contact_no@sourceB","knownFor@sourceB","address@sourceB","pinCode@sourceB","address@sourceA","locType@sourceA","name@sourceA","activity_type@sourceB","address@sourceB","attraction@sourceB","attraction_in@sourceB","contact_no@sourceB","knownFor@sourceB","max_rank@sourceB","no_of_attractions@sourceB","no_of_reviews@sourceB","pinCode@sourceB","rank@sourceB","reviewComment@sourceB","url@sourceB","Confidence"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or60-Maritime_Museum_of_San_Diego-San_Diego_California.html","Great museum  Kids took off to see the pirate ship and submarine first. They learned so much by experiencing and reading the information on the history. Several ships to see. We went too late... read more Reviewed August 10, 2016 Cynthia J","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Museums , Sights & Landmarks","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Museums , Sights & Landmarks","416","5272","1171","92101-3309","17","Great museum  Kids took off to see the pirate ship and submarine first. They learned so much by experiencing and reading the information on the history. Several ships to see. We went too late... read more Reviewed August 10, 2016 Cynthia J","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or60-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or70-Maritime_Museum_of_San_Diego-San_Diego_California.html","It Keeps Getting Better  We were last at the Maritime Museum 9 years ago, and were surprised and pleased by how much larger it has become. The fleet keeps growing, and workers on the newest boat were... read more Reviewed July 27, 2016 J K , Edwardsville, Kansas","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Museums , Sights & Landmarks","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Museums , Sights & Landmarks","416","5272","1171","92101-3309","17","It Keeps Getting Better  We were last at the Maritime Museum 9 years ago, and were surprised and pleased by how much larger it has become. The fleet keeps growing, and workers on the newest boat were... read more Reviewed July 27, 2016 J K , Edwardsville, Kansas","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or70-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or990-Maritime_Museum_of_San_Diego-San_Diego_California.html","Finest collection of active ships in the world  If you have any nautical blood in your veins, this is definitely a must-see and do place during your visit to San Diego. I've been a member of this museum since I moved to San... read more Reviewed December 23, 2011 CaptainD4 , San Diego, California","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Museums , Sights & Landmarks","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Museums , Sights & Landmarks","416","5272","1171","92101-3309","17","Finest collection of active ships in the world  If you have any nautical blood in your veins, this is definitely a must-see and do place during your visit to San Diego. I've been a member of this museum since I moved to San... read more Reviewed December 23, 2011 CaptainD4 , San Diego, California","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or990-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or1010-Maritime_Museum_of_San_Diego-San_Diego_California.html","If you love history, this is a must see  We visited the Maritime Museum in late Sept 2011 and had a wonderful time. From the friendly ticket man to the historian on board to the beautiful ships this was a great activity. Reviewed October 16, 2011 MoJoJane , North Carolina","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Museums , Sights & Landmarks","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Museums , Sights & Landmarks","416","5272","1171","92101-3309","17","If you love history, this is a must see  We visited the Maritime Museum in late Sept 2011 and had a wonderful time. From the friendly ticket man to the historian on board to the beautiful ships this was a great activity. Reviewed October 16, 2011 MoJoJane , North Carolina","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or1010-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or1000-Maritime_Museum_of_San_Diego-San_Diego_California.html","The Star of India is a must  This is a breath-taking sailing vessel to visit. You get a powerful sense of the emigration story of the 19th century. Excellently curated. Thanks to all involved. Reviewed November 26, 2011 Chris B , Paris France","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Museums , Sights & Landmarks","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Museums , Sights & Landmarks","416","5272","1171","92101-3309","17","The Star of India is a must  This is a breath-taking sailing vessel to visit. You get a powerful sense of the emigration story of the 19th century. Excellently curated. Thanks to all involved. Reviewed November 26, 2011 Chris B , Paris France","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or1000-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or80-Maritime_Museum_of_San_Diego-San_Diego_California.html","Great museum  I learned a lot about Coronado bay on the swift boat ride. The submarine was amazing. The Star of India is under construction but was still able to see and learn a lot. Reviewed July 20, 2016 Stephen M via mobile","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","416","5272","1171","92101-3309","17","Great museum  I learned a lot about Coronado bay on the swift boat ride. The submarine was amazing. The Star of India is under construction but was still able to see and learn a lot. Reviewed July 20, 2016 Stephen M via mobile","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or80-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or980-Maritime_Museum_of_San_Diego-San_Diego_California.html","Never disappointed  Good value and learning experience. It is a wonderful display of maritime history, including the now defunct tuna industry. Reviewed January 7, 2012 corisco7444 , San Diego, California","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","416","5272","1171","92101-3309","17","Never disappointed  Good value and learning experience. It is a wonderful display of maritime history, including the now defunct tuna industry. Reviewed January 7, 2012 corisco7444 , San Diego, California","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or980-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or970-Maritime_Museum_of_San_Diego-San_Diego_California.html","I hope you like boats  We did this one afternoon, there are 5-6 vessels. Try and look at the ships during the daytime, it got dark on us, so we did not get as great a view. The submarines are way cool. Reviewed January 22, 2012 Fshybr , Salinas, California","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","416","5272","1171","92101-3309","17","I hope you like boats  We did this one afternoon, there are 5-6 vessels. Try and look at the ships during the daytime, it got dark on us, so we did not get as great a view. The submarines are way cool. Reviewed January 22, 2012 Fshybr , Salinas, California","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or970-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or960-Maritime_Museum_of_San_Diego-San_Diego_California.html","Get an Annual Pass!  Totally worth getting an annual pass if you live anywhere nearby or like coming down to the area for events. Such a cool mix of vessels - sail, power, sub. You can go on the... read more Reviewed February 7, 2012 italygoodness , San Diego, California","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","416","5272","1171","92101-3309","17","Get an Annual Pass!  Totally worth getting an annual pass if you live anywhere nearby or like coming down to the area for events. Such a cool mix of vessels - sail, power, sub. You can go on the... read more Reviewed February 7, 2012 italygoodness , San Diego, California","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or960-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
"maritime museum of san diego","museum","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","San Diego","5272","1171","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or950-Maritime_Museum_of_San_Diego-San_Diego_California.html","Great pieces from history  We got free admission when we went on a whale-watching expedition. The submarines in particular are fascinating. The Soviet B-39 was almost comical in places, with wood... read more Reviewed February 21, 2012 TheBrites , Littleton, Colorado","things to do","17","416","Maritime Museum of San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","1492 N Harbor Dr , San Diego , CA 92101-3309","92101-3309","Maritime Museum of San Diego, North Harbor Drive, Hillcrest, San Diego, San Diego County, California, 92106, United States of America","museum","maritime museum of san diego","things to do","1492 N Harbor Dr , San Diego , CA 92101-3309","Maritime Museum of San Diego","San Diego","6192349153","Ships , Specialty Museums , Sights & Landmarks , Museums","416","5272","1171","92101-3309","17","Great pieces from history  We got free admission when we went on a whale-watching expedition. The submarines in particular are fascinating. The Soviet B-39 was almost comical in places, with wood... read more Reviewed February 21, 2012 TheBrites , Littleton, Colorado","https://www.tripadvisor.com/Attraction_Review-g60750-d104128-Reviews-or950-Maritime_Museum_of_San_Diego-San_Diego_California.html","100"
